date,state,cases,deaths
2020-03-06,BA,1,0
2020-03-07,BA,2,0
2020-03-08,BA,2,0
2020-03-09,BA,2,0
2020-03-10,BA,2,0
2020-03-11,BA,3,0
2020-03-12,BA,3,0
2020-03-13,BA,7,0
2020-03-14,BA,7,0
2020-03-15,BA,9,0
2020-03-16,BA,10,0
2020-03-17,BA,14,0
2020-03-18,BA,27,0
2020-03-19,BA,31,0
2020-03-20,BA,34,0
2020-03-21,BA,41,0
2020-03-22,BA,55,0
2020-03-23,BA,63,0
2020-03-24,BA,79,0
2020-03-25,BA,91,0
2020-03-26,BA,108,0
2020-03-27,BA,123,0
2020-03-28,BA,127,0
2020-03-29,BA,156,1
2020-03-30,BA,176,2
2020-03-31,BA,217,2
2020-04-01,BA,246,2
2020-04-02,BA,267,3
2020-04-03,BA,290,6
2020-04-04,BA,336,7
2020-04-05,BA,401,9
2020-04-06,BA,437,10
2020-04-07,BA,462,14
2020-04-08,BA,515,18
2020-04-09,BA,568,19
2020-04-10,BA,616,19
2020-04-11,BA,640,21
2020-04-12,BA,674,21
2020-04-13,BA,723,22
2020-04-14,BA,776,26
2020-04-15,BA,884,28
2020-04-16,BA,967,34
2020-04-17,BA,1064,36
2020-04-18,BA,1200,40
2020-04-19,BA,1249,45
2020-04-20,BA,1377,47
2020-04-21,BA,1504,48
2020-04-22,BA,1645,53
2020-04-23,BA,1845,62
2020-04-24,BA,1979,67
2020-04-25,BA,2116,72
2020-04-26,BA,2248,74
2020-04-27,BA,2356,83
2020-04-28,BA,2564,93
2020-04-29,BA,2676,100
2020-04-30,BA,2867,106
2020-05-01,BA,3140,117
2020-05-02,BA,3315,123
2020-05-03,BA,3566,128
2020-05-04,BA,3734,141
2020-05-05,BA,4040,146
2020-05-06,BA,4301,160
2020-05-07,BA,4528,165
2020-05-08,BA,4819,183
2020-05-09,BA,5175,196
2020-05-10,BA,5559,202
2020-05-11,BA,5808,214
2020-05-12,BA,6205,225
2020-05-13,BA,6549,236
2020-05-14,BA,6956,262
2020-05-15,BA,8130,281
2020-05-16,BA,8316,286
2020-05-17,BA,8444,295
2020-05-18,BA,8882,312
2020-05-19,BA,11014,326
2020-05-20,BA,11198,362
2020-05-21,BA,11942,376
2020-05-22,BA,12558,399
2020-05-23,BA,13001,413
2020-05-24,BA,13900,460
2020-05-25,BA,14205,477
2020-05-26,BA,14567,495
2020-05-27,BA,15070,531
2020-05-28,BA,15963,570
2020-05-29,BA,16917,609
2020-05-30,BA,17626,638
2020-05-31,BA,18392,667
2020-06-01,BA,18898,701
2020-06-02,BA,21430,736
2020-06-03,BA,22451,762
2020-06-04,BA,23463,790
2020-06-05,BA,26419,819
2020-06-06,BA,27396,846
2020-06-07,BA,28250,879
2020-06-08,BA,28715,910
2020-06-09,BA,30481,937
2020-06-10,BA,32685,975
2020-06-11,BA,33891,1013
2020-06-12,BA,34665,1039
2020-06-13,BA,35788,1069
2020-06-14,BA,36402,1105
2020-06-15,BA,37621,1145
2020-06-16,BA,39207,1181
2020-06-17,BA,40927,1222
2020-06-18,BA,41578,1263
2020-06-19,BA,43923,1305
2020-06-20,BA,45305,1350
2020-06-21,BA,46280,1391
2020-06-22,BA,47087,1441
2020-06-23,BA,49085,1491
2020-06-24,BA,51932,1541
2020-06-25,BA,54292,1601
2020-06-26,BA,56422,1642
2020-06-27,BA,65244,1697
2020-06-28,BA,68495,1748
2020-06-29,BA,69467,1800
2020-06-30,BA,73307,1853
2020-07-01,BA,76485,1902
2020-07-02,BA,79349,1947
2020-07-03,BA,82314,2001
2020-07-04,BA,85485,2050
2020-07-05,BA,87048,2107
2020-07-06,BA,88279,2168
2020-07-07,BA,91954,2216
2020-07-08,BA,95536,2277
2020-07-09,BA,98319,2328
2020-07-10,BA,101186,2383
2020-07-11,BA,104188,2436
2020-07-12,BA,105763,2483
2020-07-13,BA,106891,2535
2020-07-14,BA,110029,2584
2020-07-15,BA,112993,2638
