Date,mortes,casos,hospitalizados,infectados_vacinados,vacinados,hospitalizados_vacinados,PSI
2020-03-05 00:00:00,4,35,4,0,0,0,0.295
2020-03-06 00:00:00,5,44,5,0,0,0,0.278
2020-03-13 00:00:00,6,125,6,0,0,0,0.3
2020-03-15 00:00:00,7,167,7,0,0,0,0.295
2020-03-16 00:00:00,9,191,9,0,0,0,0.341
2020-03-18 00:00:00,10,239,10,0,0,0,0.412
2020-03-20 00:00:00,11,295,11,0,0,0,0.3
2020-03-21 00:00:00,14,319,14,0,0,0,0.311
2020-03-22 00:00:00,16,350,16,0,0,0,0.35100000000000003
2020-03-23 00:00:00,17,385,17,0,0,0,0.376
2020-03-24 00:00:00,19,413,19,0,0,0,0.384
2020-03-25 00:00:00,22,452,22,0,0,0,0.484
2020-03-26 00:00:00,24,489,24,0,0,0,0.583
2020-03-27 00:00:00,27,517,27,0,0,0,0.504
2020-03-28 00:00:00,30,547,30,0,0,0,0.516
2020-03-29 00:00:00,35,566,35,0,0,0,0.519
2020-03-30 00:00:00,36,612,36,0,0,0,0.521
2020-03-31 00:00:00,39,653,39,0,0,0,0.498
2020-04-02 00:00:00,43,779,43,0,0,0,0.517
2020-04-03 00:00:00,49,824,49,0,0,0,0.573
2020-04-04 00:00:00,53,888,53,0,0,0,0.465
2020-04-05 00:00:00,56,955,56,0,0,0,0.461
2020-04-06 00:00:00,58,1035,58,0,0,0,0.44
2020-04-07 00:00:00,60,1098,60,0,0,0,0.465
2020-04-08 00:00:00,62,1158,62,0,0,0,0.447
2020-04-09 00:00:00,66,1234,66,0,0,0,0.472
2020-04-10 00:00:00,71,1353,71,0,0,0,0.546
2020-04-11 00:00:00,75,1443,75,0,0,0,0.473
2020-04-12 00:00:00,78,1538,78,0,0,0,0.44
2020-04-13 00:00:00,83,1651,83,0,0,0,0.416
2020-04-14 00:00:00,86,1765,86,0,0,0,0.415
2020-04-15 00:00:00,96,1946,96,0,0,0,0.506
2020-04-16 00:00:00,102,2075,102,0,0,0,0.464
2020-04-17 00:00:00,116,2264,116,0,0,0,0.531
2020-04-18 00:00:00,125,2452,125,0,0,0,0.457
2020-04-19 00:00:00,127,2612,127,0,0,0,0.434
2020-04-20 00:00:00,135,2836,135,0,0,0,0.439
2020-04-21 00:00:00,142,2998,142,0,0,0,0.4
2020-04-22 00:00:00,157,3203,157,0,0,0,0.401
2020-04-23 00:00:00,165,3395,165,0,0,0,0.43700000000000006
2020-04-24 00:00:00,183,3613,183,0,0,0,0.531
2020-04-25 00:00:00,201,3836,201,0,0,0,0.441
2020-04-26 00:00:00,215,4040,215,0,0,0,0.524
2020-04-27 00:00:00,227,4283,227,0,0,0,0.42
2020-04-28 00:00:00,245,4498,245,0,0,0,0.438
2020-04-29 00:00:00,262,4729,262,0,0,0,0.406
2020-04-30 00:00:00,280,5040,280,0,0,0,0.4320000000000001
2020-05-01 00:00:00,291,5626,291,0,0,0,0.516
2020-05-02 00:00:00,309,5949,309,0,0,0,0.434
2020-05-03 00:00:00,330,6269,330,0,0,0,0.416
2020-05-04 00:00:00,355,6691,355,0,0,0,0.408
2020-05-05 00:00:00,371,7154,371,0,0,0,0.396
2020-05-06 00:00:00,394,7516,394,0,0,0,0.461
2020-05-07 00:00:00,429,7941,429,0,0,0,0.398
2020-05-08 00:00:00,448,8442,448,0,0,0,0.463
2020-05-09 00:00:00,478,8836,478,0,0,0,0.416
2020-05-10 00:00:00,507,9512,507,0,0,0,0.408
2020-05-11 00:00:00,534,10133,534,0,0,0,0.417
2020-05-12 00:00:00,579,10745,579,0,0,0,0.417
2020-05-13 00:00:00,622,11359,622,0,0,0,0.386
2020-05-14 00:00:00,663,12051,663,0,0,0,0.424
2020-05-15 00:00:00,698,12966,698,0,0,0,0.476
2020-05-16 00:00:00,729,13614,729,0,0,0,0.426
2020-05-17 00:00:00,769,14220,769,0,0,0,0.429
2020-05-18 00:00:00,818,15235,818,0,0,0,0.434
2020-05-19 00:00:00,861,16027,861,0,0,0,0.42
2020-05-20 00:00:00,907,17261,907,0,0,0,0.404
2020-05-21 00:00:00,959,18013,959,0,0,0,0.433
2020-05-22 00:00:00,1022,18955,1022,0,0,0,0.51
2020-05-23 00:00:00,1073,19797,1073,0,0,0,0.419
2020-05-24 00:00:00,1134,20541,1134,0,0,0,0.43700000000000006
2020-05-25 00:00:00,1198,21857,1198,0,0,0,0.42
2020-05-26 00:00:00,1262,22772,1262,0,0,0,0.447
2020-05-27 00:00:00,1339,23723,1339,0,0,0,0.406
2020-05-28 00:00:00,1424,24889,1424,0,0,0,0.43
2020-05-29 00:00:00,1481,26027,1481,0,0,0,0.505
2020-05-30 00:00:00,1560,27066,1560,0,0,0,0.452
2020-05-31 00:00:00,1618,27798,1618,0,0,0,0.457
2020-06-01 00:00:00,1702,29805,1702,0,0,0,0.431
2020-06-02 00:00:00,1781,31095,1781,0,0,0,0.418
2020-06-03 00:00:00,1846,32337,1846,0,0,0,0.392
2020-06-04 00:00:00,1926,33657,1926,0,0,0,0.43
2020-06-05 00:00:00,2008,35142,2008,0,0,0,0.501
2020-06-06 00:00:00,2081,36504,2081,0,0,0,0.411
2020-06-07 00:00:00,2158,37537,2158,0,0,0,0.399
2020-06-08 00:00:00,2224,39199,2224,0,0,0,0.395
2020-06-09 00:00:00,2307,40623,2307,0,0,0,0.402
2020-06-10 00:00:00,2411,42727,2411,0,0,0,0.394
2020-06-11 00:00:00,2503,44039,2503,0,0,0,0.402
2020-06-12 00:00:00,2585,45727,2585,0,0,0,0.482
2020-06-13 00:00:00,2670,47359,2670,0,0,0,0.38
2020-06-14 00:00:00,2749,49092,2749,0,0,0,0.388
2020-06-15 00:00:00,2837,52248,2837,0,0,0,0.397
2020-06-16 00:00:00,2916,54161,2916,0,0,0,0.444
2020-06-17 00:00:00,3017,56391,3017,0,0,0,0.359
2020-06-18 00:00:00,3099,58523,3099,0,0,0,0.392
2020-06-19 00:00:00,3180,60609,3180,0,0,0,0.472
2020-06-20 00:00:00,3263,63057,3263,0,0,0,0.387
2020-06-21 00:00:00,3335,64582,3335,0,0,0,0.397
2020-06-22 00:00:00,3427,67076,3427,0,0,0,0.385
2020-06-23 00:00:00,3527,69206,3527,0,0,0,0.398
2020-06-24 00:00:00,3620,71255,3620,0,0,0,0.338
2020-06-25 00:00:00,3705,73755,3705,0,0,0,0.385
2020-06-26 00:00:00,3797,76206,3797,0,0,0,0.473
2020-06-27 00:00:00,3877,78140,3877,0,0,0,0.385
2020-06-28 00:00:00,3955,80131,3955,0,0,0,0.369
2020-06-29 00:00:00,4042,83100,4042,0,0,0,0.403
2020-06-30 00:00:00,4127,86132,4127,0,0,0,0.399
2020-07-01 00:00:00,4217,89934,4217,0,0,0,0.379
2020-07-02 00:00:00,4298,92594,4298,0,0,0,0.417
2020-07-03 00:00:00,4382,95193,4382,0,0,0,0.483
2020-07-04 00:00:00,4466,97245,4466,0,0,0,0.404
2020-07-05 00:00:00,4530,99545,4530,0,0,0,0.399
2020-07-06 00:00:00,4627,102397,4627,0,0,0,0.394
2020-07-07 00:00:00,4713,105303,4713,0,0,0,0.41
2020-07-08 00:00:00,4817,107655,4817,0,0,0,0.385
2020-07-09 00:00:00,4903,109796,4903,0,0,0,0.42
2020-07-10 00:00:00,4999,113175,4999,0,0,0,0.493
2020-07-11 00:00:00,5099,115128,5099,0,0,0,0.411
2020-07-12 00:00:00,5190,116983,5190,0,0,0,0.409
2020-07-13 00:00:00,5298,119772,5298,0,0,0,0.415
2020-07-14 00:00:00,5394,122171,5394,0,0,0,0.434
2020-07-15 00:00:00,5487,124619,5487,0,0,0,0.397
2020-07-16 00:00:00,5570,126775,5570,0,0,0,0.433
2020-07-17 00:00:00,5662,129279,5662,0,0,0,0.492
2020-07-18 00:00:00,5753,131465,5753,0,0,0,0.41
2020-07-19 00:00:00,5843,133086,5843,0,0,0,0.425
2020-07-20 00:00:00,5933,136244,5933,0,0,0,0.417
2020-07-21 00:00:00,6039,138145,6039,0,0,0,0.422
2020-07-22 00:00:00,6136,140121,6136,0,0,0,0.375
2020-07-23 00:00:00,6239,142336,6239,0,0,0,0.407
2020-07-24 00:00:00,6328,144297,6328,0,0,0,0.515
2020-07-25 00:00:00,6411,146040,6411,0,0,0,0.406
2020-07-26 00:00:00,6468,147596,6468,0,0,0,0.42
2020-07-27 00:00:00,6546,150018,6546,0,0,0,0.41
2020-07-28 00:00:00,6622,151983,6622,0,0,0,0.398
2020-07-29 00:00:00,6704,153619,6704,0,0,0,0.39
2020-07-30 00:00:00,6792,155766,6792,0,0,0,0.42
2020-07-31 00:00:00,6872,157756,6872,0,0,0,0.49700000000000005
2020-08-01 00:00:00,6939,160407,6939,0,0,0,0.409
2020-08-02 00:00:00,7003,162605,7003,0,0,0,0.41
2020-08-03 00:00:00,7078,164754,7078,0,0,0,0.398
2020-08-04 00:00:00,7150,166476,7150,0,0,0,0.4
2020-08-05 00:00:00,7221,168262,7221,0,0,0,0.386
2020-08-06 00:00:00,7296,170107,7296,0,0,0,0.399
2020-08-07 00:00:00,7381,171988,7381,0,0,0,0.482
2020-08-08 00:00:00,7445,173571,7445,0,0,0,0.392
2020-08-09 00:00:00,7519,174938,7519,0,0,0,0.411
2020-08-10 00:00:00,7600,177533,7600,0,0,0,0.379
2020-08-11 00:00:00,7688,179405,7688,0,0,0,0.392
2020-08-12 00:00:00,7781,181596,7781,0,0,0,0.361
2020-08-13 00:00:00,7847,183375,7847,0,0,0,0.4
2020-08-14 00:00:00,7904,185333,7904,0,0,0,0.465
2020-08-15 00:00:00,7949,186986,7949,0,0,0,0.377
2020-08-16 00:00:00,8026,188189,8026,0,0,0,0.387
2020-08-17 00:00:00,8106,190208,8106,0,0,0,0.386
2020-08-18 00:00:00,8177,192045,8177,0,0,0,0.4
2020-08-19 00:00:00,8268,193558,8268,0,0,0,0.371
2020-08-20 00:00:00,8336,195616,8336,0,0,0,0.403
2020-08-21 00:00:00,8407,197208,8407,0,0,0,0.478
2020-08-22 00:00:00,8460,198333,8460,0,0,0,0.383
2020-08-23 00:00:00,8518,199346,8518,0,0,0,0.384
2020-08-24 00:00:00,8574,200737,8574,0,0,0,0.375
2020-08-25 00:00:00,8636,202237,8636,0,0,0,0.373
2020-08-26 00:00:00,8691,203536,8691,0,0,0,0.364
2020-08-27 00:00:00,8741,204674,8741,0,0,0,0.385
2020-08-28 00:00:00,8802,206048,8802,0,0,0,0.489
2020-08-29 00:00:00,8856,206835,8856,0,0,0,0.392
2020-08-30 00:00:00,8896,207633,8896,0,0,0,0.384
2020-08-31 00:00:00,8952,208825,8952,0,0,0,0.379
2020-09-01 00:00:00,9013,210169,9013,0,0,0,0.382
2020-09-02 00:00:00,9059,211180,9059,0,0,0,0.354
2020-09-03 00:00:00,9114,212068,9114,0,0,0,0.379
2020-09-04 00:00:00,9165,213095,9165,0,0,0,0.462
2020-09-05 00:00:00,9202,213960,9202,0,0,0,0.375
2020-09-06 00:00:00,9240,214661,9240,0,0,0,0.365
2020-09-07 00:00:00,9289,215475,9289,0,0,0,0.368
2020-09-08 00:00:00,9344,216626,9344,0,0,0,0.363
2020-09-09 00:00:00,9392,217666,9392,0,0,0,0.5
2020-09-10 00:00:00,9445,218851,9445,0,0,0,0.5
2020-09-11 00:00:00,9495,219890,9495,0,0,0,0.5
2020-09-12 00:00:00,9523,220754,9523,0,0,0,0.5
2020-09-13 00:00:00,9560,221484,9560,0,0,0,0.5
2020-09-14 00:00:00,9610,222524,9610,0,0,0,0.5
2020-09-15 00:00:00,9666,223578,9666,0,0,0,0.5
2020-09-16 00:00:00,9715,224561,9715,0,0,0,0.5
2020-09-17 00:00:00,9769,225639,9769,0,0,0,0.5
2020-09-18 00:00:00,9823,226666,9823,0,0,0,0.5
2020-09-19 00:00:00,9869,227449,9869,0,0,0,0.5
2020-09-20 00:00:00,9908,228356,9908,0,0,0,0.5
2020-09-21 00:00:00,9964,229399,9964,0,0,0,0.5
2020-09-22 00:00:00,10008,230277,10008,0,0,0,0.5
2020-09-23 00:00:00,10057,231198,10057,0,0,0,0.5
2020-09-24 00:00:00,10103,232141,10103,0,0,0,0.5
2020-09-25 00:00:00,10146,233254,10146,0,0,0,0.5
2020-09-26 00:00:00,10184,233982,10184,0,0,0,0.5
2020-09-27 00:00:00,10221,234694,10221,0,0,0,0.5
2020-09-28 00:00:00,10252,235806,10252,0,0,0,0.5
2020-09-29 00:00:00,10304,236638,10304,0,0,0,0.5
2020-09-30 00:00:00,10350,237554,10350,0,0,0,0.5
2020-10-01 00:00:00,10386,238741,10386,0,0,0,0.5
2020-10-02 00:00:00,10435,239738,10435,0,0,0,0.5
2020-10-03 00:00:00,10481,240489,10481,0,0,0,0.5
2020-10-04 00:00:00,10520,241143,10520,0,0,0,0.5
2020-10-05 00:00:00,10575,242322,10575,0,0,0,0.5
2020-10-06 00:00:00,10628,243244,10628,0,0,0,0.5
2020-10-07 00:00:00,10681,244148,10681,0,0,0,0.5
2020-10-08 00:00:00,10736,245116,10736,0,0,0,0.5
2020-10-09 00:00:00,10780,246149,10780,0,0,0,0.5
2020-10-10 00:00:00,10813,247141,10813,0,0,0,0.5
